Entity,Code,Day,New cases (per 1M)
Canada,CAN,3/1/2020,0.022079213
Canada,CAN,3/2/2020,0.022079213
Canada,CAN,3/3/2020,0.051518165
Canada,CAN,3/4/2020,0.084636986
Canada,CAN,3/5/2020,0.080957115
Canada,CAN,3/6/2020,0.12143567
Canada,CAN,3/7/2020,0.1177558
Canada,CAN,3/8/2020,0.13247529
Canada,CAN,3/9/2020,0.15455449
Canada,CAN,3/10/2020,0.13983501
Canada,CAN,3/11/2020,0.16191423
Canada,CAN,3/12/2020,0.25759083
Canada,CAN,3/13/2020,0.2134324
Canada,CAN,3/14/2020,0.34222782
Canada,CAN,3/15/2020,0.45998362
Canada,CAN,3/16/2020,0.5004622
Canada,CAN,3/17/2020,0.6881355
Canada,CAN,3/18/2020,0.9089276
Canada,CAN,3/19/2020,1.1812379
Canada,CAN,3/20/2020,1.714819
Canada,CAN,3/21/2020,2.6053472
Canada,CAN,3/22/2020,2.9254959
Canada,CAN,3/23/2020,4.0809746
Canada,CAN,3/24/2020,4.3459253
Canada,CAN,3/25/2020,4.8647866
Canada,CAN,3/26/2020,5.6485987
Canada,CAN,3/27/2020,10.362511
Canada,CAN,3/28/2020,11.6725445
Canada,CAN,3/29/2020,13.630235
Canada,CAN,3/30/2020,15.0285845
Canada,CAN,3/31/2020,17.755367
Canada,CAN,4/1/2020,21.262283
Canada,CAN,4/2/2020,24.202497
Canada,CAN,4/3/2020,22.851986
Canada,CAN,4/4/2020,26.679049
Canada,CAN,4/5/2020,28.864891
Canada,CAN,4/6/2020,31.264166
Canada,CAN,4/7/2020,34.00567
Canada,CAN,4/8/2020,33.96151
Canada,CAN,4/9/2020,34.395733
Canada,CAN,4/10/2020,35.61745
Canada,CAN,4/11/2020,34.88516
Canada,CAN,4/12/2020,35.378258
Canada,CAN,4/13/2020,34.660686
Canada,CAN,4/14/2020,32.636757
Canada,CAN,4/15/2020,33.155617
Canada,CAN,4/16/2020,33.71864
Canada,CAN,4/17/2020,33.45001
Canada,CAN,4/18/2020,34.344215
Canada,CAN,4/19/2020,35.83824
Canada,CAN,4/20/2020,36.942204
Canada,CAN,4/21/2020,38.311115
Canada,CAN,4/22/2020,41.063656
Canada,CAN,4/23/2020,41.82539
Canada,CAN,4/24/2020,43.47765
Canada,CAN,4/25/2020,44.224663
Canada,CAN,4/26/2020,44.176826
Canada,CAN,4/27/2020,44.162106
Canada,CAN,4/28/2020,44.55585
Canada,CAN,4/29/2020,42.93303
Canada,CAN,4/30/2020,42.697517
Canada,CAN,5/1/2020,41.979942
Canada,CAN,5/2/2020,40.942223
Canada,CAN,5/3/2020,41.115173
Canada,CAN,5/4/2020,41.81067
Canada,CAN,5/5/2020,46.28907
Canada,CAN,5/6/2020,45.15935
Canada,CAN,5/7/2020,44.232025
Canada,CAN,5/8/2020,43.7794
Canada,CAN,5/9/2020,42.999268
Canada,CAN,5/10/2020,41.84747
Canada,CAN,5/11/2020,40.43072
Canada,CAN,5/12/2020,34.49141
Canada,CAN,5/13/2020,33.88423
Canada,CAN,5/14/2020,33.519924
Canada,CAN,5/15/2020,32.312927
Canada,CAN,5/16/2020,31.521757
Canada,CAN,5/17/2020,30.101328
Canada,CAN,5/18/2020,30.038769
Canada,CAN,5/19/2020,30.00933
Canada,CAN,5/20/2020,29.777498
Canada,CAN,5/21/2020,29.280716
Canada,CAN,5/22/2020,28.87593
Canada,CAN,5/23/2020,28.839132
Canada,CAN,5/24/2020,28.949528
Canada,CAN,5/25/2020,28.544743
Canada,CAN,5/26/2020,28.32395
Canada,CAN,5/27/2020,28.110518
Canada,CAN,5/28/2020,27.727812
Canada,CAN,5/29/2020,27.21631
Canada,CAN,5/30/2020,26.450897
Canada,CAN,5/31/2020,25.53093
Canada,CAN,6/1/2020,24.17306
Canada,CAN,6/2/2020,22.991821
Canada,CAN,6/3/2020,22.057135
Canada,CAN,6/4/2020,21.207085
