date,,isPartial
1/1/2019,96.3,FALSE
4/1/2019,99.9,FALSE
7/1/2019,100.4,FALSE
10/1/2019,103.3,FALSE
1/1/2020,103.7,FALSE
4/1/2020,108.6,FALSE
7/1/2020,106.8,FALSE
10/1/2020,107.4,FALSE
1/1/2021,108,FALSE
4/1/2021,111.2,FALSE
7/1/2021,121.1,FALSE
10/1/2021,114.2,FALSE
1/1/2022,117.8,FALSE
4/1/2022,121.9,FALSE
7/1/2022,127.7,FALSE
10/1/2022,129,FALSE
1/1/2023,129.8,FALSE
4/1/2023,134.7,FALSE
7/1/2023,137.1,FALSE
10/1/2023,133.1,FALSE
1/1/2024,139.4,FALSE
4/1/2024,145.3,FALSE
7/1/2024,147.5,FALSE
10/1/2024,146.1,FALSE
1/1/2025,139.9,FALSE
4/1/2025,156.3,FALSE
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
